CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1017,Female,99,55972,83,Entertainment,1,7
1018,Female,85,134282,39,Artist,2,5
1019,Female,25,106669,22,Lawyer,1,7
1020,Female,99,145777,94,Executive,1,5
1021,Male,41,119259,91,Healthcare,1,5
1022,Female,1,150174,59,Artist,2,2
1023,Female,45,55472,51,Healthcare,1,3
1024,Male,55,99423,82,Healthcare,0,5
1025,Female,20,146221,25,Marketing,0,3
1026,Female,33,84238,31,Artist,1,2
1027,Male,92,57032,75,Entertainment,1,5
1028,Male,93,88811,52,Engineer,0,4
1029,Male,60,167420,38,Artist,5,2
1030,Male,38,101846,17,Doctor,3,2
1031,Male,15,114061,87,Artist,2,5
1032,Male,74,147449,16,Artist,1,5
1033,Female,47,83043,76,Executive,0,1
1034,Female,96,168990,81,Doctor,9,5
1035,Male,97,73867,65,Healthcare,4,5
1036,Female,35,165772,51,Healthcare,1,4
1037,Female,19,178217,38,Marketing,0,3
1038,Male,60,162612,98,Engineer,1,6
1039,Male,37,99872,53,Entertainment,11,3
1040,Female,49,142566,77,Artist,1,7
1041,Female,1,111424,80,Entertainment,8,5
1042,Male,43,187841,38,Artist,1,4
1043,Female,46,171921,50,Artist,1,6
1044,Female,65,115299,87,Artist,6,3
1045,Male,75,94129,27,Healthcare,6,7
1046,Male,40,172378,39,Entertainment,5,6
1047,Male,28,146597,31,Engineer,1,4
1048,Female,78,64057,44,Doctor,0,3
1049,Female,22,163585,49,Artist,9,5
1050,Male,6,93186,83,Entertainment,1,3
1051,Male,46,149764,1,Entertainment,0,6
1052,Male,17,116822,84,Doctor,1,3
1053,Female,46,109346,37,Entertainment,1,2
1054,Female,72,111587,99,Artist,7,4
1055,Female,38,166644,66,Artist,8,6
1056,Female,50,181270,56,Artist,1,1
1057,Male,47,65207,81,Healthcare,1,2
1058,Female,72,112146,21,Homemaker,8,4
1059,Male,8,104953,57,Doctor,1,6
1060,Female,34,139009,24,Artist,0,4
1061,Female,53,67916,82,Healthcare,0,6
1062,Female,82,99983,88,Executive,0,1
1063,Male,63,131122,40,Artist,9,6
1064,Female,58,173190,37,Doctor,9,4
1065,Male,23,122712,21,Marketing,1,1
1066,Female,80,55792,30,Artist,1,6
1067,Male,45,73892,45,Doctor,1,4
1068,Female,30,78821,46,,1,4
1069,Female,84,152475,12,Artist,0,7
1070,Male,45,152226,87,Artist,4,4
1071,Male,85,117679,18,Entertainment,1,3
1072,Male,23,146473,87,Artist,1,4
1073,Male,79,66051,75,Healthcare,1,7
1074,Male,47,162332,72,Entertainment,1,5
1075,Female,93,166018,71,Doctor,0,3
1076,Female,95,67398,81,Entertainment,2,5
1077,Male,44,73760,70,Entertainment,1,6
1078,Male,95,167578,66,Entertainment,0,1
1079,Male,28,130267,45,Engineer,8,4
1080,Male,91,94846,95,Engineer,0,5
1081,Female,81,155396,1,Engineer,9,5
1082,Female,90,138013,16,Artist,8,7
1083,Male,79,148286,77,Entertainment,0,4
1084,Female,6,101031,28,Artist,1,1
1085,Female,38,52884,24,Lawyer,1,1
1086,Male,87,153230,15,Healthcare,8,1
1087,Female,93,63261,13,Engineer,1,7
1088,Male,44,90167,84,Engineer,0,3
1089,Female,10,162076,78,,0,3
1090,Female,84,53622,27,Artist,0,3
1091,Female,7,172913,94,Executive,3,4
1092,Female,41,94316,86,Artist,0,6
1093,Male,87,141383,3,,7,5
1094,Female,33,67874,55,Artist,0,2
1095,Female,34,176554,62,Healthcare,1,2
1096,Female,53,135341,56,Healthcare,10,2
1097,Female,47,129019,57,Healthcare,0,3
1098,Male,53,107879,3,Doctor,1,6
1099,Male,92,79531,4,Artist,1,1
1100,Male,89,63379,59,Artist,12,7
1101,Female,27,156258,54,Entertainment,0,4
1102,Male,70,67874,41,Entertainment,9,3
1103,Female,86,159964,57,Engineer,5,6
1104,Female,99,103706,50,Entertainment,1,2
1105,Female,96,64713,84,Entertainment,2,7
1106,Female,65,90414,55,Artist,1,5
1107,Female,82,171100,34,Executive,0,5
1108,Male,36,187305,85,Engineer,6,7
1109,Female,30,139758,46,Lawyer,0,6
1110,Female,96,91226,56,Healthcare,0,5
1111,Female,69,143928,30,Engineer,9,7
1112,Female,34,92366,14,Healthcare,0,6
1113,Male,74,175041,25,Artist,4,1
1114,Male,97,147301,93,Lawyer,1,5
1115,Male,56,119296,49,Engineer,0,7
1116,Female,30,126306,44,Artist,0,1
1117,Male,13,100647,49,Executive,1,3
1118,Female,95,168663,16,Engineer,11,5
1119,Female,2,105391,42,Executive,1,7
1120,Female,78,175179,43,Executive,9,4
1121,Female,54,165019,12,Entertainment,1,2
1122,Female,85,68212,26,Healthcare,7,4
1123,Male,13,64572,71,Artist,1,2
1124,Female,85,92591,99,Artist,8,2
1125,Female,41,69730,97,Artist,1,4
1126,Female,25,156793,57,Marketing,2,4
1127,Female,74,56848,41,Artist,5,1
1128,Male,8,148450,55,Healthcare,0,6
1129,Male,62,150619,32,Artist,10,6
1130,Male,52,100261,10,Artist,1,6
1131,Female,36,109895,56,Healthcare,5,2
1132,Male,11,152684,24,Lawyer,0,3
1133,Female,84,133765,83,Artist,1,3
1134,Female,99,57677,99,Lawyer,0,5
1135,Female,51,112358,27,Artist,0,6
1136,Female,57,73845,52,Artist,1,7
1137,Male,92,89531,42,Healthcare,6,2
1138,Male,29,118092,100,Entertainment,7,3
1139,Male,62,144242,49,Entertainment,1,4
1140,Female,43,140876,90,Entertainment,0,4
1141,Male,72,76888,26,Marketing,0,1
1142,Female,28,116644,88,Artist,6,3
1143,Female,57,143021,3,Executive,5,4
1144,Female,86,145679,91,Lawyer,9,6
1145,Female,26,64398,7,Lawyer,1,6
1146,Female,13,104512,40,Marketing,9,3
1147,Male,1,71564,68,Artist,1,5
1148,Female,89,122707,64,Homemaker,2,3
1149,Female,91,51733,96,Healthcare,0,5
1150,Female,67,138087,63,Marketing,1,7
1151,Male,63,147278,51,Lawyer,0,4
1152,Female,90,187339,62,Healthcare,0,6
1153,Female,87,129972,97,Executive,1,6
1154,Female,89,151176,55,Healthcare,1,2
1155,Female,34,74358,60,Artist,0,6
1156,Male,89,83953,82,Healthcare,0,3
1157,Male,31,62925,24,Engineer,1,6
1158,Male,55,65257,93,Doctor,2,3
1159,Female,3,188557,4,Healthcare,9,2
1160,Male,64,163783,84,Healthcare,3,1
1161,Female,1,108342,97,Doctor,0,3
1162,Female,20,155951,21,Healthcare,7,4
1163,Female,18,183071,29,Artist,7,4
1164,Female,83,124104,20,Healthcare,4,6
1165,Female,21,136747,3,Healthcare,1,1
1166,Male,19,189498,18,Artist,4,1
1167,Female,74,76149,48,Artist,9,6
1168,Female,44,185550,54,Artist,0,1
1169,Female,52,119567,19,Artist,5,2
1170,Female,14,79806,30,Engineer,1,6
1171,Male,10,180774,66,Entertainment,1,5
1172,Female,80,90142,50,Lawyer,1,2
1173,Female,82,184481,84,Executive,0,2
1174,Female,32,66089,75,Artist,6,3
1175,Female,16,60044,83,Artist,4,1
1176,Male,61,52543,23,Executive,0,6
1177,Male,57,50429,23,Artist,0,1
1178,Male,95,178228,45,Engineer,1,2
1179,Female,38,161130,98,Artist,8,3
1180,Male,70,87976,38,Lawyer,1,6
1181,Female,40,179150,91,Artist,5,2
1182,Female,92,163442,32,Executive,1,6
1183,Female,73,108159,18,Entertainment,8,7
1184,Female,62,73419,14,Healthcare,0,1
1185,Female,12,138425,78,Doctor,11,6
1186,Male,65,54431,93,Healthcare,1,7
1187,Female,88,168437,81,Artist,2,2
1188,Female,55,71322,54,Entertainment,1,6
1189,Female,99,122548,14,,2,5
1190,Female,20,141428,32,Entertainment,1,5
1191,Male,97,142214,32,Artist,7,4
1192,Female,93,62590,43,Artist,9,6
1193,Male,84,172523,83,Artist,6,2
1194,Female,16,157588,76,Executive,2,6
1195,Female,10,143313,57,Doctor,4,7
1196,Female,59,119833,38,Doctor,1,2
1197,Female,54,70803,35,Entertainment,0,5
1198,Male,82,139008,47,Artist,1,4
1199,Male,83,126669,53,Artist,1,6
1200,Male,87,122722,10,Executive,9,4
1201,Male,1,79800,47,Artist,0,1
1202,Male,89,100155,5,Healthcare,6,1
1203,Female,32,110846,49,Artist,0,2
1204,Female,1,106841,69,Entertainment,0,3
1205,Female,54,117181,66,Doctor,12,5
1206,Female,56,86898,76,Healthcare,0,6
1207,Female,31,143241,81,Executive,4,7
1208,Female,26,146028,33,Healthcare,0,5
1209,Male,7,165287,65,Doctor,1,3
1210,Female,60,132486,9,Artist,1,2
1211,Male,92,96424,74,Artist,8,5
1212,Female,93,151468,41,Artist,1,5
1213,Female,8,76561,79,Healthcare,0,1
1214,Female,81,125316,81,Lawyer,0,6
1215,Male,21,109373,22,Entertainment,4,2
1216,Male,96,135042,12,Artist,0,7
1217,Female,78,59784,81,Artist,3,3
1218,Male,86,140687,63,Artist,1,2
1219,Male,1,182927,55,Healthcare,1,1
1220,Female,62,175534,44,Artist,1,6
1221,Male,68,170957,6,Lawyer,1,3
1222,Male,70,81197,76,Artist,0,4
1223,Female,21,104888,8,Healthcare,0,4
1224,Male,74,184838,18,,8,5
1225,Female,62,139588,66,Executive,0,2
1226,Male,22,126543,45,Homemaker,0,3
1227,Female,87,177260,45,Entertainment,14,2
1228,Male,44,156823,42,Healthcare,9,5
1229,Female,27,183201,52,Engineer,8,6
1230,Female,95,84925,46,Artist,4,6
1231,Male,89,69719,47,Artist,9,2
1232,Female,41,61355,13,Healthcare,1,3
1233,Male,41,156014,49,Doctor,14,5
1234,Male,21,184088,21,Entertainment,11,7
1235,Female,59,158372,98,Artist,1,1
1236,Female,64,135742,67,Healthcare,1,7
1237,Female,38,145704,82,Marketing,0,4
1238,Female,70,157307,23,Executive,4,3
1239,Female,25,88064,73,Executive,1,5
1240,Female,3,167226,59,Homemaker,3,1
1241,Female,70,153821,8,Marketing,1,4
1242,Male,29,170669,78,Doctor,9,5
1243,Male,88,93555,13,Artist,3,3
1244,Female,20,101941,18,Healthcare,1,3
1245,Female,58,78795,44,Engineer,0,6
1246,Female,70,55875,94,Engineer,0,5
1247,Female,44,177513,81,Lawyer,1,5
1248,Female,87,100850,83,Doctor,0,3
1249,Female,0,143082,63,Entertainment,0,7
1250,Female,96,85447,4,Artist,9,6
1251,Female,75,114213,33,Doctor,9,4
1252,Male,14,161120,69,Executive,0,1
1253,Female,8,186682,86,Entertainment,1,1
1254,Male,58,105302,75,Doctor,0,3
1255,Female,5,133400,47,Engineer,0,6
1256,Male,70,56432,23,Engineer,0,5
1257,Female,49,136467,72,Healthcare,3,3
1258,Male,60,189945,20,Engineer,0,5
1259,Female,25,163966,48,Lawyer,1,5
1260,Male,47,52152,17,Artist,0,3
1261,Male,53,145720,62,Homemaker,12,7
1262,Male,24,188034,61,Healthcare,1,5
1263,Female,46,127911,3,Homemaker,9,2
1264,Female,70,174114,31,Lawyer,1,1
1265,Male,53,144489,10,Artist,14,3
1266,Male,63,77440,47,Lawyer,0,5
1267,Female,24,86119,44,Artist,1,6
1268,Female,5,100056,49,Entertainment,1,3
1269,Male,7,66686,50,Artist,8,7
1270,Female,71,74696,41,Doctor,1,6
1271,Male,23,65641,50,Entertainment,4,5
1272,Female,0,61228,81,Entertainment,1,6
1273,Female,2,138529,87,Healthcare,0,4
1274,Female,72,152405,4,Artist,1,4
1275,Male,18,157757,84,Doctor,0,4
1276,Male,11,166361,59,Engineer,6,4
1277,Female,95,67227,30,Artist,1,7
1278,Male,20,161156,88,Engineer,0,4
1279,Female,58,170647,70,Healthcare,1,7
1280,Female,67,161646,36,Healthcare,0,2
1281,Male,43,98016,18,Healthcare,9,6
1282,Male,36,50526,19,Artist,0,6
1283,Male,2,175208,43,Executive,8,4
1284,Female,35,97721,48,Engineer,0,7
1285,Female,81,142013,81,Entertainment,3,4
1286,Male,84,166737,76,Artist,0,3
1287,Female,18,62651,13,Entertainment,0,2
1288,Female,54,179546,4,Homemaker,8,4
1289,Female,98,51866,81,Artist,12,7
1290,Female,75,86297,42,Executive,9,4
1291,Female,98,65031,23,Artist,0,4
1292,Male,94,69383,25,Entertainment,0,2
1293,Male,24,70733,63,Artist,5,3
1294,Female,47,187898,89,Artist,6,2
1295,Female,40,116001,55,Engineer,1,4
1296,Male,68,87040,4,Artist,9,1
1297,Female,18,180956,74,Artist,2,2
1298,Female,83,115517,82,Healthcare,0,6
1299,Male,34,76979,46,Lawyer,1,3
1300,Male,81,50798,56,Artist,10,5
1301,Female,61,146350,43,Artist,1,3
1302,Female,77,81112,61,Healthcare,5,3
1303,Male,52,80605,20,Doctor,1,6
1304,Male,40,171949,11,Doctor,1,6
1305,Male,93,159006,26,Artist,8,6
1306,Female,45,177368,96,Healthcare,1,2
1307,Female,83,187643,3,Artist,1,1
1308,Male,23,93841,25,Lawyer,0,7
1309,Male,15,131061,92,Healthcare,0,7
1310,Male,79,146130,20,Entertainment,6,6
1311,Male,80,84471,79,Doctor,1,5
1312,Female,35,144485,15,Entertainment,0,4
1313,Female,39,158638,78,Healthcare,2,5
1314,Male,4,96693,28,Entertainment,0,4
1315,Female,83,129507,93,Healthcare,4,7
1316,Female,94,114510,39,Healthcare,0,4
1317,Female,33,109396,17,,1,2
1318,Female,12,149031,96,Artist,10,5
1319,Female,77,66256,13,Lawyer,1,2
1320,Female,48,118285,69,Doctor,8,4
1321,Male,97,128723,58,Artist,4,5
1322,Female,28,178285,91,Artist,4,7
1323,Female,99,144176,74,Marketing,7,2
1324,Male,27,82474,31,Artist,9,3
1325,Female,95,159010,84,Lawyer,6,2
1326,Female,6,76164,83,Artist,6,2
1327,Male,18,77873,49,Executive,6,5
1328,Male,42,53392,89,Artist,6,4
1329,Male,50,168898,41,Artist,9,7
1330,Male,86,128917,7,Homemaker,5,5
1331,Male,69,185067,49,Lawyer,5,4
1332,Male,23,132183,76,Artist,10,3
1333,Female,82,82060,46,Healthcare,7,1
1334,Female,97,133614,58,Artist,7,4
1335,Male,42,94844,64,,7,6
1336,Female,75,76474,5,Doctor,5,5
1337,Female,14,94655,9,Healthcare,8,1
1338,Male,3,60933,30,Doctor,8,1
1339,Male,16,79257,82,Healthcare,6,2
1340,Female,45,125677,36,Entertainment,5,2
1341,Female,23,127971,56,Artist,1,5
1342,Male,38,76103,62,Executive,9,3
1343,Female,45,114741,96,Artist,0,5
1344,Female,82,157994,92,Artist,1,1
1345,Male,73,93786,44,Entertainment,3,1
1346,Male,36,75178,41,Entertainment,1,7
1347,Male,13,175267,81,Healthcare,1,4
1348,Female,96,99263,100,Healthcare,8,1
1349,Female,83,52590,3,Healthcare,0,4
1350,Male,33,170959,75,Artist,0,4
1351,Male,68,135076,60,Engineer,1,5
1352,Male,88,167112,34,Lawyer,0,1
1353,Female,87,184639,12,Doctor,1,6
1354,Female,88,172369,80,Artist,6,6
1355,Female,43,124256,67,Marketing,1,7
1356,Female,64,89972,92,Artist,10,6
1357,Male,96,67799,42,Entertainment,1,6
1358,Female,72,176074,70,Doctor,1,7
1359,Male,48,167517,27,Artist,2,7
1360,Female,64,77914,11,Artist,1,6
1361,Female,8,57605,81,Doctor,0,2
1362,Female,52,86365,70,Engineer,1,7
1363,Male,3,93883,39,Healthcare,1,2
1364,Female,44,131091,62,Artist,4,1
1365,Male,14,87222,14,Healthcare,8,4
1366,Female,50,117076,45,Doctor,1,2
1367,Male,53,150925,1,Healthcare,1,2
1368,Female,31,149379,100,Lawyer,0,3
1369,Female,31,138644,94,Engineer,4,3
1370,Male,97,148493,42,Doctor,4,7
1371,Male,27,84658,66,Lawyer,4,6
1372,Male,2,111618,99,Lawyer,6,5
1373,Male,81,108759,60,Artist,7,6
1374,Male,64,186203,73,Artist,10,5
1375,Female,11,147258,59,Lawyer,10,2
1376,Female,78,132983,67,Healthcare,7,7
1377,Male,72,149092,39,Engineer,8,1
1378,Male,36,163845,84,Doctor,5,7
1379,Male,97,117777,67,Artist,5,5
1380,Male,88,131584,18,Artist,7,3
1381,Female,21,123904,91,Artist,7,5
1382,Female,62,89801,88,Artist,5,4
1383,Male,73,173466,57,Entertainment,10,5
1384,Female,34,55690,4,Marketing,4,6
1385,Female,50,104467,72,,5,1
1386,Male,39,100419,19,Artist,5,4
1387,Female,82,62951,47,Lawyer,8,2
1388,Male,39,118554,1,Lawyer,4,6
1389,Female,13,140673,49,Artist,6,7
1390,Female,68,75561,87,Healthcare,5,3
1391,Female,77,147306,50,Healthcare,6,6
1392,Female,35,111871,30,Doctor,10,1
1393,Male,5,112884,43,Healthcare,0,6
1394,Female,47,121267,58,Engineer,1,1
1395,Female,48,151519,93,Artist,7,2
1396,Female,34,105448,40,Artist,0,5
1397,Female,20,92048,91,Healthcare,1,1
1398,Male,61,99980,94,Healthcare,10,1
1399,Male,16,84003,68,Artist,9,6
1400,Male,2,110889,95,Executive,1,2
1401,Female,52,82478,95,Executive,10,1
1402,Male,99,139685,20,Healthcare,1,4
1403,Female,84,182374,62,Entertainment,0,6
1404,Female,58,119366,94,Engineer,4,2
1405,Female,91,53788,57,Doctor,0,2
1406,Female,1,90341,92,Doctor,0,2
1407,Female,67,118348,94,Engineer,1,7
1408,Male,56,137428,87,Artist,0,2
1409,Female,62,106982,53,Entertainment,1,7
1410,Female,12,98532,52,Doctor,0,6
1411,Female,38,120825,24,Executive,9,7
1412,Female,51,58006,83,Executive,1,5
1413,Male,20,106941,73,Artist,1,1
1414,Male,43,129782,31,Entertainment,1,2
1415,Male,93,121513,90,Engineer,0,6
1416,Female,54,79925,30,Healthcare,0,3
1417,Male,23,112089,74,Healthcare,7,7
1418,Female,1,138656,27,,3,4
1419,Female,64,146794,90,Healthcare,8,3
1420,Female,55,75033,30,Engineer,5,5
1421,Female,85,149969,78,Executive,0,6
1422,Female,20,124852,39,Healthcare,5,5
1423,Male,73,154837,42,Executive,8,4
1424,Female,53,145678,55,Executive,0,1
1425,Female,7,137354,89,Artist,8,7
1426,Female,50,136660,48,Entertainment,1,3
1427,Female,12,63334,99,Artist,0,6
1428,Male,37,62893,29,Executive,1,5
1429,Male,78,163514,89,Doctor,9,2
1430,Male,29,145934,40,Marketing,10,2
1431,Female,54,119223,58,Lawyer,10,7
1432,Male,89,127479,18,Doctor,10,2
1433,Female,25,136146,98,Artist,6,6
1434,Female,14,76001,46,Artist,7,3
1435,Female,12,84885,24,Healthcare,6,2
1436,Female,18,82812,1,Artist,6,2
1437,Male,74,51260,43,Entertainment,5,5
1438,Male,21,159572,42,Healthcare,5,5
1439,Male,9,130186,88,Artist,9,7
1440,Female,49,176954,57,Artist,5,6
1441,Male,58,85908,99,Artist,5,4
1442,Female,16,75831,5,Healthcare,10,7
1443,Female,55,123045,56,Engineer,7,3
1444,Female,31,161211,10,Lawyer,9,1
1445,Female,59,81702,27,Marketing,6,4
1446,Female,25,173043,3,Artist,8,6
1447,Male,63,126380,90,Artist,6,1
1448,Female,60,128205,27,Healthcare,6,5
1449,Female,41,181355,73,Artist,10,3
1450,Female,84,97931,70,Healthcare,9,7
1451,Male,72,146432,25,Artist,6,1
1452,Female,97,125731,41,Artist,6,4
1453,Female,43,132701,70,Healthcare,5,2
1454,Female,63,116095,8,Artist,5,1
1455,Female,7,135773,42,Artist,9,5
1456,Male,54,136417,45,Healthcare,9,6
1457,Male,27,80783,82,Artist,9,3
1458,Male,28,182580,60,Executive,6,6
1459,Female,84,143567,48,Artist,7,2
1460,Male,71,85908,85,Entertainment,5,4
1461,Female,88,139806,99,Entertainment,4,4
1462,Female,75,77269,24,Artist,8,1
1463,Female,96,105968,65,Engineer,4,5
1464,Female,83,125660,19,Engineer,10,4
1465,Female,86,98444,76,Entertainment,7,4
1466,Male,60,179503,9,Artist,4,3
1467,Female,5,60575,14,Engineer,5,2
1468,Female,65,75685,19,Marketing,7,3
1469,Female,49,85374,45,Artist,8,5
1470,Female,78,128642,19,Marketing,5,6
1471,Male,25,182292,78,Artist,7,5
1472,Female,5,124702,94,Artist,10,3
1473,Female,58,127833,2,Artist,7,7
1474,Female,80,178866,97,Artist,8,4
1475,Female,94,183643,51,Artist,5,5
1476,Male,62,113306,4,Executive,5,6
1477,Male,20,84008,77,Artist,8,4
1478,Male,85,85758,35,Lawyer,10,4
1479,Female,72,63128,45,Engineer,8,7
1480,Male,95,70174,6,Executive,10,6
1481,Female,97,170133,42,Engineer,5,5
1482,Female,25,165978,42,Artist,7,3
1483,Female,17,149727,78,Artist,7,3
1484,Female,19,147052,86,,9,4
1485,Female,59,113389,79,Doctor,4,6
1486,Male,30,111690,73,Entertainment,10,4
1487,Female,63,184830,60,Doctor,9,3
1488,Female,23,91549,23,Artist,4,3
1489,Female,97,94629,17,Marketing,6,3
1490,Female,97,167558,99,Artist,4,7
1491,Male,94,119189,57,Artist,9,3
1492,Female,28,96207,67,Artist,5,5
1493,Male,21,85339,6,Doctor,4,7
1494,Female,25,111942,7,Artist,5,5
1495,Female,48,157003,45,Engineer,5,4
1496,Female,53,117123,23,Artist,9,7
1497,Female,97,172747,76,Artist,7,2
1498,Male,33,157358,52,Healthcare,7,4
1499,Male,5,156655,20,Entertainment,4,5
1500,Male,72,166043,93,Doctor,7,6
1501,Male,40,67768,15,Doctor,10,6
1502,Male,34,171353,34,Doctor,8,4
1503,Female,63,116971,76,Executive,7,5
1504,Female,85,97822,38,Doctor,5,3
1505,Female,86,117203,83,Healthcare,10,3
1506,Female,63,88720,100,Artist,10,1
1507,Female,9,173233,18,,5,1
1508,Female,76,139447,36,Artist,8,7
1509,Male,19,179269,93,Entertainment,6,3
